date,value
2022-01-01,2501
2022-02-01,2499
2022-03-01,2554
2022-04-01,2732
2022-05-01,2658
2022-06-01,2722
2022-07-01,2860
2022-08-01,2761
2022-09-01,2861
2022-10-01,2950
2022-11-01,3020
2022-12-01,3048
2023-01-01,3113
2023-02-01,3102
2023-03-01,3144
2023-04-01,3111
2023-05-01,3094
2023-06-01,3110
2023-07-01,3159
2023-08-01,3269
2023-09-01,3259
2023-10-01,3267
2023-11-01,3251
2023-12-01,3367
2024-01-01,3396
2024-02-01,3395
2024-03-01,3374
2024-04-01,3295
2024-05-01,3301
2024-06-01,3349
2024-07-01,3344
2024-08-01,3396
2024-09-01,3326
2024-10-01,3359
2024-11-01,3429
2024-12-01,3456
2025-01-01,3543
2025-02-01,3464
2025-03-01,3562
2025-04-01,3543
2025-05-01,3458
2025-06-01,3478
