date,value
2024-01-01,345
2024-01-02,310
2024-01-03,308
2024-01-04,293
2024-01-05,374
2024-01-06,204
2024-01-07,59
2024-01-08,368
2024-01-09,294
2024-01-10,350
2024-01-11,347
2024-01-12,375
2024-01-13,167
2024-01-14,62
2024-01-15,358
2024-01-16,326
2024-01-17,301
2024-01-18,329
2024-01-19,374
2024-01-20,210
2024-01-21,65
2024-01-22,367
2024-01-23,305
2024-01-24,330
2024-01-25,302
2024-01-26,354
2024-01-27,192
2024-01-28,67
2024-01-29,375
2024-01-30,311
2024-01-31,348
2024-02-01,293
2024-02-02,354
2024-02-03,206
2024-02-04,69
2024-02-05,389
2024-02-06,327
2024-02-07,338
2024-02-08,305
2024-02-09,360
2024-02-10,186
2024-02-11,72
2024-02-12,361
2024-02-13,366
2024-02-14,355
2024-02-15,310
2024-02-16,340
2024-02-17,174
2024-02-18,59
2024-02-19,373
2024-02-20,379
2024-02-21,319
2024-02-22,309
2024-02-23,383
2024-02-24,200
2024-02-25,65
2024-02-26,369
2024-02-27,367
2024-02-28,346
2024-02-29,326
2024-03-01,387
2024-03-02,181
2024-03-03,61
2024-03-04,397
2024-03-05,351
2024-03-06,331
2024-03-07,321
2024-03-08,378
2024-03-09,223
2024-03-10,65
2024-03-11,332
2024-03-12,428
2024-03-13,340
2024-03-14,333
2024-03-15,340
2024-03-16,233
2024-03-17,68
2024-03-18,382
2024-03-19,293
2024-03-20,326
2024-03-21,311
2024-03-22,387
2024-03-23,240
2024-03-24,60
2024-03-25,432
2024-03-26,392
2024-03-27,336
2024-03-28,357
2024-03-29,377
2024-03-30,201
2024-03-31,71
2024-04-01,410
2024-04-02,342
2024-04-03,340
2024-04-04,330
2024-04-05,363
2024-04-06,200
2024-04-07,61
2024-04-08,385
2024-04-09,354
2024-04-10,301
2024-04-11,331
2024-04-12,405
2024-04-13,218
2024-04-14,63
2024-04-15,360
2024-04-16,372
2024-04-17,333
2024-04-18,348
2024-04-19,387
2024-04-20,224
2024-04-21,60
2024-04-22,440
2024-04-23,353
2024-04-24,329
2024-04-25,333
2024-04-26,381
2024-04-27,228
2024-04-28,68
2024-04-29,434
2024-04-30,386
2024-05-01,346
2024-05-02,304
2024-05-03,394
2024-05-04,204
2024-05-05,55
2024-05-06,351
2024-05-07,353
2024-05-08,389
2024-05-09,373
2024-05-10,395
2024-05-11,223
2024-05-12,69
2024-05-13,383
2024-05-14,377
2024-05-15,322
2024-05-16,328
2024-05-17,378
2024-05-18,241
2024-05-19,67
2024-05-20,415
2024-05-21,361
2024-05-22,341
2024-05-23,334
2024-05-24,366
2024-05-25,201
2024-05-26,68
2024-05-27,433
2024-05-28,365
2024-05-29,357
2024-05-30,367
2024-05-31,384
2024-06-01,185
2024-06-02,70
2024-06-03,406
2024-06-04,407
2024-06-05,371
2024-06-06,357
2024-06-07,382
2024-06-08,230
2024-06-09,69
2024-06-10,414
2024-06-11,389
2024-06-12,339
2024-06-13,327
2024-06-14,407
2024-06-15,237
2024-06-16,74
2024-06-17,422
2024-06-18,404
2024-06-19,318
2024-06-20,347
2024-06-21,392
2024-06-22,219
2024-06-23,67
2024-06-24,456
2024-06-25,355
2024-06-26,379
2024-06-27,375
2024-06-28,412
