date,value
2021-01-01,171498
2021-02-01,165595
2021-03-01,166962
2021-04-01,160964
2021-05-01,137746
2021-06-01,139592
2021-07-01,131603
2021-08-01,140350
2021-09-01,138631
2021-10-01,156226
2021-11-01,183294
2021-12-01,192408
2022-01-01,195913
2022-02-01,181960
2022-03-01,181348
2022-04-01,171042
2022-05-01,158214
2022-06-01,152046
2022-07-01,149129
2022-08-01,154930
2022-09-01,170832
2022-10-01,178494
2022-11-01,212414
2022-12-01,214194
2023-01-01,221372
2023-02-01,214787
2023-03-01,199172
2023-04-01,194922
2023-05-01,174950
2023-06-01,162153
2023-07-01,158687
2023-08-01,170578
2023-09-01,191427
2023-10-01,190643
2023-11-01,229205
2023-12-01,234779
2024-01-01,237034
2024-02-01,235304
2024-03-01,223932
2024-04-01,206483
2024-05-01,191958
2024-06-01,190452
2024-07-01,193265
2024-08-01,187664
2024-09-01,181417
2024-10-01,211661
2024-11-01,245555
2024-12-01,243764
