date,value
2023-01-01,7935
2023-01-08,9138
2023-01-15,9379
2023-01-22,9066
2023-01-29,9246
2023-02-05,9662
2023-02-12,8612
2023-02-19,9019
2023-02-26,9034
2023-03-05,8673
2023-03-12,8706
2023-03-19,7697
2023-03-26,8525
2023-04-02,8111
2023-04-09,7095
2023-04-16,7783
2023-04-23,7514
2023-04-30,7788
2023-05-07,6321
2023-05-14,6930
2023-05-21,7427
2023-05-28,6961
2023-06-04,6669
2023-06-11,6807
2023-06-18,6215
2023-06-25,6086
2023-07-02,6504
2023-07-09,6499
2023-07-16,7253
2023-07-23,6412
2023-07-30,6647
2023-08-06,6242
2023-08-13,6437
2023-08-20,6514
2023-08-27,6850
2023-09-03,7178
2023-09-10,7256
2023-09-17,7503
2023-09-24,7871
2023-10-01,7953
2023-10-08,8213
2023-10-15,8664
2023-10-22,9034
2023-10-29,8544
2023-11-05,8314
2023-11-12,8488
2023-11-19,9500
2023-11-26,10158
2023-12-03,10268
2023-12-10,9290
2023-12-17,9605
2023-12-24,9203
2023-12-31,10858
2024-01-07,9632
2024-01-14,9922
2024-01-21,10405
2024-01-28,10506
2024-02-04,10370
2024-02-11,10701
2024-02-18,11000
2024-02-25,11009
2024-03-03,10017
2024-03-10,10262
2024-03-17,9645
2024-03-24,8832
2024-03-31,9328
2024-04-07,9481
2024-04-14,8801
2024-04-21,8667
2024-04-28,8156
2024-05-05,8161
2024-05-12,8705
2024-05-19,8087
2024-05-26,8050
2024-06-02,7935
2024-06-09,7653
2024-06-16,7939
2024-06-23,7762
2024-06-30,7054
2024-07-07,7839
2024-07-14,7746
2024-07-21,7638
2024-07-28,7852
2024-08-04,7226
2024-08-11,7534
2024-08-18,7399
2024-08-25,8031
2024-09-01,7830
2024-09-08,8673
2024-09-15,8238
2024-09-22,8174
2024-09-29,8930
2024-10-06,8195
2024-10-13,9423
2024-10-20,9026
2024-10-27,10384
2024-11-03,8562
2024-11-10,9486
2024-11-17,10741
2024-11-24,10297
2024-12-01,10784
2024-12-08,10779
2024-12-15,11054
2024-12-22,10146
